LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
22.25,-117.25,ALLSKY_SFC_SW_DWN,4.13,4.9,5.67,6.33,6.28,6.14,6,5.9,5.5,5.02,4.28,3.64,5.32
22.75,-117.25,ALLSKY_SFC_SW_DWN,4.13,4.9,5.67,6.33,6.28,6.14,6,5.9,5.5,5.02,4.28,3.64,5.32
23.25,-117.25,ALLSKY_SFC_SW_DWN,4.13,4.93,5.69,6.37,6.32,6.11,6.04,5.94,5.5,4.95,4.23,3.64,5.32
23.75,-117.25,ALLSKY_SFC_SW_DWN,4.13,4.93,5.69,6.37,6.32,6.11,6.04,5.94,5.5,4.95,4.23,3.64,5.32
24.25,-117.25,ALLSKY_SFC_SW_DWN,4.07,4.89,5.7,6.4,6.32,6.15,6.08,5.97,5.49,4.86,4.21,3.66,5.32
24.75,-117.25,ALLSKY_SFC_SW_DWN,4.07,4.89,5.7,6.4,6.32,6.15,6.08,5.97,5.49,4.86,4.21,3.66,5.32
25.25,-117.25,ALLSKY_SFC_SW_DWN,4.03,4.82,5.71,6.48,6.31,6.14,6.12,5.99,5.48,4.81,4.2,3.66,5.31
25.75,-117.25,ALLSKY_SFC_SW_DWN,4.03,4.82,5.71,6.48,6.31,6.14,6.12,5.99,5.48,4.81,4.2,3.66,5.31
26.25,-117.25,ALLSKY_SFC_SW_DWN,3.95,4.73,5.66,6.57,6.3,6.13,6.05,5.94,5.48,4.76,4.15,3.64,5.28
26.75,-117.25,ALLSKY_SFC_SW_DWN,3.95,4.73,5.66,6.57,6.3,6.13,6.05,5.94,5.48,4.76,4.15,3.64,5.28
27.25,-117.25,ALLSKY_SFC_SW_DWN,3.85,4.63,5.63,6.65,6.33,6.13,6,5.87,5.45,4.7,4.1,3.58,5.24
27.75,-117.25,ALLSKY_SFC_SW_DWN,3.85,4.63,5.63,6.65,6.33,6.13,6,5.87,5.45,4.7,4.1,3.58,5.24
28.25,-117.25,ALLSKY_SFC_SW_DWN,3.81,4.6,5.67,6.73,6.54,6.3,6.08,5.99,5.59,4.71,4.09,3.51,5.3
28.75,-117.25,ALLSKY_SFC_SW_DWN,3.81,4.6,5.67,6.73,6.54,6.3,6.08,5.99,5.59,4.71,4.09,3.51,5.3
29.25,-117.25,ALLSKY_SFC_SW_DWN,3.65,4.43,5.42,6.48,6.15,5.85,5.8,5.6,5.37,4.47,3.93,3.36,5.04
29.75,-117.25,ALLSKY_SFC_SW_DWN,3.65,4.43,5.42,6.48,6.15,5.85,5.8,5.6,5.37,4.47,3.93,3.36,5.04
30.25,-117.25,ALLSKY_SFC_SW_DWN,3.57,4.32,5.28,6.44,6.03,5.7,5.76,5.63,5.32,4.37,3.84,3.29,4.96
30.75,-117.25,ALLSKY_SFC_SW_DWN,3.57,4.32,5.28,6.44,6.03,5.7,5.76,5.63,5.32,4.37,3.84,3.29,4.96
31.25,-117.25,ALLSKY_SFC_SW_DWN,3.47,4.21,5.24,6.4,6.09,5.71,5.86,5.79,5.3,4.28,3.75,3.22,4.94
31.75,-117.25,ALLSKY_SFC_SW_DWN,3.47,4.21,5.24,6.4,6.09,5.71,5.86,5.79,5.3,4.28,3.75,3.22,4.94
32.25,-117.25,ALLSKY_SFC_SW_DWN,3.36,4.13,5.27,6.49,6.45,6.12,6.31,6.18,5.36,4.3,3.69,3.13,5.07
32.75,-117.25,ALLSKY_SFC_SW_DWN,3.36,4.13,5.27,6.49,6.45,6.12,6.31,6.18,5.36,4.3,3.69,3.13,5.07
14.75,-116.75,ALLSKY_SFC_SW_DWN,4.61,5.37,6.21,6.34,6.4,6.27,6.11,5.97,5.86,5.51,4.65,4.23,5.63
15.25,-116.75,ALLSKY_SFC_SW_DWN,4.53,5.3,6.08,6.28,6.34,6.24,6.37,6.15,6.01,5.52,4.63,4.12,5.63
15.75,-116.75,ALLSKY_SFC_SW_DWN,4.53,5.3,6.08,6.28,6.34,6.24,6.37,6.15,6.01,5.52,4.63,4.12,5.63
16.25,-116.75,ALLSKY_SFC_SW_DWN,4.44,5.23,5.96,6.21,6.26,6.15,6.44,6.23,6.06,5.43,4.57,4.03,5.58
16.75,-116.75,ALLSKY_SFC_SW_DWN,4.44,5.23,5.96,6.21,6.26,6.15,6.44,6.23,6.06,5.43,4.57,4.03,5.58
17.25,-116.75,ALLSKY_SFC_SW_DWN,4.43,5.13,5.85,6.23,6.32,6.17,6.48,6.22,6.02,5.4,4.54,3.97,5.56
17.75,-116.75,ALLSKY_SFC_SW_DWN,4.43,5.13,5.85,6.23,6.32,6.17,6.48,6.22,6.02,5.4,4.54,3.97,5.56
18.25,-116.75,ALLSKY_SFC_SW_DWN,4.36,5.04,5.82,6.31,6.41,6.18,6.42,6.2,5.86,5.29,4.48,3.88,5.52
18.75,-116.75,ALLSKY_SFC_SW_DWN,4.36,5.04,5.82,6.31,6.41,6.18,6.42,6.2,5.86,5.29,4.48,3.88,5.52
19.25,-116.75,ALLSKY_SFC_SW_DWN,4.3,4.99,5.81,6.35,6.39,6.24,6.27,6.21,5.77,5.2,4.4,3.79,5.48
19.75,-116.75,ALLSKY_SFC_SW_DWN,4.3,4.99,5.81,6.35,6.39,6.24,6.27,6.21,5.77,5.2,4.4,3.79,5.48
20.25,-116.75,ALLSKY_SFC_SW_DWN,4.25,5.01,5.77,6.34,6.35,6.25,6.22,6.16,5.67,5.17,4.37,3.72,5.44
20.75,-116.75,ALLSKY_SFC_SW_DWN,4.25,5.01,5.77,6.34,6.35,6.25,6.22,6.16,5.67,5.17,4.37,3.72,5.44
21.25,-116.75,ALLSKY_SFC_SW_DWN,4.23,5.03,5.75,6.38,6.36,6.31,6.19,6.13,5.63,5.16,4.37,3.71,5.44
21.75,-116.75,ALLSKY_SFC_SW_DWN,4.23,5.03,5.75,6.38,6.36,6.31,6.19,6.13,5.63,5.16,4.37,3.71,5.44
22.25,-116.75,ALLSKY_SFC_SW_DWN,4.22,4.99,5.76,6.4,6.38,6.31,6.18,6.06,5.6,5.11,4.37,3.73,5.43
22.75,-116.75,ALLSKY_SFC_SW_DWN,4.22,4.99,5.76,6.4,6.38,6.31,6.18,6.06,5.6,5.11,4.37,3.73,5.43
23.25,-116.75,ALLSKY_SFC_SW_DWN,4.22,4.96,5.79,6.48,6.45,6.27,6.26,6.14,5.61,5.08,4.33,3.74,5.44
23.75,-116.75,ALLSKY_SFC_SW_DWN,4.22,4.96,5.79,6.48,6.45,6.27,6.26,6.14,5.61,5.08,4.33,3.74,5.44
24.25,-116.75,ALLSKY_SFC_SW_DWN,4.17,4.95,5.77,6.52,6.46,6.27,6.3,6.2,5.61,5.01,4.32,3.76,5.45
24.75,-116.75,ALLSKY_SFC_SW_DWN,4.17,4.95,5.77,6.52,6.46,6.27,6.3,6.2,5.61,5.01,4.32,3.76,5.45
25.25,-116.75,ALLSKY_SFC_SW_DWN,4.12,4.89,5.77,6.56,6.42,6.25,6.34,6.22,5.61,4.95,4.27,3.75,5.43
25.75,-116.75,ALLSKY_SFC_SW_DWN,4.12,4.89,5.77,6.56,6.42,6.25,6.34,6.22,5.61,4.95,4.27,3.75,5.43
