Estado,Ene/2000,Feb/2000,Mar/2000,Abr/2000,May/2000,Jun/2000,Jul/2000,Ago/2000,Sep/2000,Oct/2000,Nov/2000,Dic/2000,Ene/2001,Feb/2001,Mar/2001,Abr/2001,May/2001,Jun/2001,Jul/2001,Ago/2001,Sep/2001,Oct/2001,Nov/2001,Dic/2001,Ene/2002,Feb/2002,Mar/2002,Abr/2002,May/2002,Jun/2002,Jul/2002,Ago/2002,Sep/2002,Oct/2002,Nov/2002,Dic/2002,Ene/2003,Feb/2003,Mar/2003,Abr/2003,May/2003,Jun/2003,Jul/2003,Ago/2003,Sep/2003,Oct/2003,Nov/2003,Dic/2003,Ene/2004,Feb/2004,Mar/2004,Abr/2004,May/2004,Jun/2004,Jul/2004,Ago/2004,Sep/2004,Oct/2004,Nov/2004,Dic/2004,Ene/2005,Feb/2005,Mar/2005,Abr/2005,May/2005,Jun/2005,Jul/2005,Ago/2005,Sep/2005,Oct/2005,Nov/2005,Dic/2005,Ene/2006,Feb/2006,Mar/2006,Abr/2006,May/2006,Jun/2006,Jul/2006,Ago/2006,Sep/2006,Oct/2006,Nov/2006,Dic/2006,Ene/2007,Feb/2007,Mar/2007,Abr/2007,May/2007,Jun/2007,Jul/2007,Ago/2007,Sep/2007,Oct/2007,Nov/2007,Dic/2007,Ene/2008,Feb/2008,Mar/2008,Abr/2008,May/2008,Jun/2008,Jul/2008,Ago/2008,Sep/2008,Oct/2008,Nov/2008,Dic/2008,Ene/2009,Feb/2009,Mar/2009,Abr/2009,May/2009,Jun/2009,Jul/2009,Ago/2009,Sep/2009,Oct/2009,Nov/2009,Dic/2009,Ene/2010,Feb/2010,Mar/2010,Abr/2010,May/2010,Jun/2010,Jul/2010,Ago/2010,Sep/2010,Oct/2010,Nov/2010,Dic/2010,Ene/2011,Feb/2011,Mar/2011,Abr/2011,May/2011,Jun/2011,Jul/2011,Ago/2011,Sep/2011,Oct/2011,Nov/2011,Dic/2011,Ene/2012,Feb/2012,Mar/2012,Abr/2012,May/2012,Jun/2012,Jul/2012,Ago/2012,Sep/2012,Oct/2012,Nov/2012,Dic/2012,Ene/2013,Feb/2013,Mar/2013,Abr/2013,May/2013,Jun/2013,Jul/2013,Ago/2013,Sep/2013,Oct/2013,Nov/2013,Dic/2013,Ene/2014,Feb/2014,Mar/2014,Abr/2014,May/2014,Jun/2014,Jul/2014,Ago/2014,Sep/2014,Oct/2014,Nov/2014,Dic/2014,Ene/2015,Feb/2015,Mar/2015,Abr/2015,May/2015,Jun/2015,Jul/2015,Ago/2015,Sep/2015,Oct/2015,Nov/2015,Dic/2015,Ene/2016,Feb/2016,Mar/2016,Abr/2016,May/2016,Jun/2016,Jul/2016,Ago/2016,Sep/2016,Oct/2016,Nov/2016,Dic/2016,Ene/2017,Feb/2017,Mar/2017,Abr/2017,May/2017,Jun/2017,Jul/2017,Ago/2017,Sep/2017,Oct/2017,Nov/2017,Dic/2017,Ene/2018,Feb/2018,Mar/2018,Abr/2018,May/2018,Jun/2018,Jul/2018,Ago/2018,Sep/2018,Oct/2018,Nov/2018,Dic/2018,Ene/2019,Feb/2019,Mar/2019,Abr/2019,May/2019,Jun/2019,Jul/2019,Ago/2019,Sep/2019,Oct/2019,Nov/2019,Dic/2019,Ene/2020,Feb/2020,Mar/2020,Abr/2020,May/2020,Jun/2020,Jul/2020,Ago/2020,Sep/2020,Oct/2020,Nov/2020,Dic/2020,Ene/2021,Feb/2021,Mar/2021
Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252588,248528,257018,278613,277814,281100,278168,266654,259357,278420,261624,243797,256685,241992,273752,264333,273826,272071,259729,262414,257472,253949,249214,240479,272235,262336,264386,279732,279204,281621,263217,280469,267822,277099,276901,259970,272889,232314,266465,294519,307718,313774,316546,276771,269069,286704,276058,261768,268341,275068,286483,280226,286230,292382,300519,294083,284006,285450,286586,269705,328374,280616,267901,295763,312710,315890,304281,299093,297292,296853,297333,284921,309434,297596,309473,314156,351666,343090,313813,297236,307783,291892,285486,229350,272831.56,274695.37,293161.65,294568.73,312784.93,309188.32,312081.07,331018.98,317148.52,318966.34,299652.24,287022.4,302831.46,289105.4,314938.57,320877.98,353843.33,359026.62,350255.1,342571.74,349679.28,326867.34,332302.07,310627.3,337223.8,325445.96,386407.2,374019.85,401692.12,396760.98,379592.9,382374.26,373491.61,382023.88,367373.1,348940.53,367690.23,352125.98,375134.02,368869.82,405532.55,408405.38,388259.06,396673.68,388287.22,384344.97,375222.3,342516.58,379869,370371.82,386909.24,401093.17,422249.69,412780.59,400405.08,405610.48,393266.28,408983.23,378534.91,354968.42,379791.57,382086.95,410445.26,411211.76,423413.89,410032.27,405089.29,418351.34,398541.18,415892.69,394434.32,4812.8,377290.49,372046.19,391795.41,401722.68,426410.14,443639.62,409116.63,437120.17,420165.28,440845.72,416079.7,4923.884185,414944.84,410104.43,414175.69,453967.71,455900.2,447974.79,444844.88,450216.72,428295.57,448232.43,408847.16,5162.3,418039.63,417085.27,439716.52,430728.52,467961.51,462523.95,421473.45,427081.67,489876.3,395900.35,473968.01,5243.7,0,0,0,0,0,0,0,0,0,0,0,5458800,0,0,0,0,0,0,0,0,0,0,0,5543900,0,0,0,0,0,0,0,0,0,0,0,2391200,0,0,0
Quintana Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161033,150176,168793,175347,189413,191272,208116,199087,203448,178806,183433,167242,156317,152499,181811,178215,200104,198626,221034,210128,211841,196890,199342,182977,175309,168281,185905,187780,209859,214750,234757,232714,229255,217617,208451,194890,187826,176047,198363,206146,231714,229436,241364,242496,246325,195398,154692,165429,174414,170363,206141,205637,238578,242235,270543,266409,272995,257629,240650,227256,240020,231708,244471,245633,275341,275089,311693,298110,295353,280858,264917,260564,259706,262137,279411,283905,314565,306611,334766,333528,333496,301993,273228,260268,270906.17,248286.04,269236.59,287740.26,283923.94,298899.99,342694.33,336752.65,339305.75,322089.97,300704.99,284737.29,268791.82,240923.08,257519.6,280819.42,320039.5,338311.36,365162.41,351947.96,341030.57,307703.12,289256.26,263208.06,268110.62,257523.58,289180.44,312387.73,337660.39,340197.06,355179.63,350457.55,354997.68,314666.59,291375.98,285678.2,281507.75,280117.56,309322.48,313772.46,334730.27,331805.83,364855.98,366405.86,359031.6,341296.94,304392.87,293822.04,303676.27,291779.81,295565.64,318935.67,351806.43,355024.61,371112.13,378753.68,352681.36,349002.83,339064.28,327180.95,306930.86,301831.51,327421.3,336871.92,365107.01,366703.91,404071.48,411346.42,388058.05,366996.6,333355.06,4219,314968.36,292885.86,336551.38,367802.84,386595.1,403948.89,403482.34,427783.13,426120.08,390925.7,384842.19,4504.543004,351809.64,313130.21,347968.79,366943.33,416264.32,423539.2,469050.58,449473.68,449191.12,415121.04,382008.3,4764.7,362289.34,331170.85,363251.1,367562.16,413461.11,424023.06,474389.42,459639.58,490151.19,421556.4,391860.25,4831.9,0,0,0,0,0,0,0,0,0,0,0,5012400,0,0,0,0,0,0,0,0,0,0,0,5297400,0,0,0,0,0,0,0,0,0,0,0,2121300,0,0,0
San Luis Potosí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339632,314288,312379,339752,364421,364623,368984,360251,351700,351132,329097,328182,347312,329456,356304,355233,363868,383117,397030,374354,367812,380355,356757,343744,362986,352462,489024,250546,384125,476254,493603,387285,381413,400368,365788,348849,336588,409938,446777,368657,390020,439244,462269,401381,406024,401714,395764,362481,384204,373823,457982,343992,393383,452615,527051,416523,407838,399935,388363,388783,387783,373730,531518,359973,412687,427688,423612,396941,447556,463352,446067,378605,404510,389638,501848,439029,456384,459511,395829,424930,442037,389266,422460,318774,373561.84,342247.85,374530.91,445220.48,408733.79,378619.19,385061.25,413511.66,427746,386749.26,357761,343562.06,367832.03,345078.24,373485.79,462200.5,411869.35,429255.4,421874.15,421544.31,426383.51,414570.1,392742.16,384003.25,414030.79,375508.54,421329.85,515004.72,448700.88,462537.02,442242.52,436234.83,439370.23,441447.62,443002.57,441224.75,449167.08,454240.59,433693.59,547458.14,499661.1,494479.68,482649.3,541842.43,482943.32,486215.7,479013.5,439132.46,443517.55,432881.98,468779.5,554273.23,498005.76,504523.3,477557.47,508766.29,505826.61,481137.3,453246.46,446096.08,449692.84,460175.64,551724.18,457279.9,529216.3,506306.09,481206.73,480300.11,502191.94,519678.6,467979.79,5848.8,464279.98,528998.93,470783.47,471574.37,492683.22,497036.91,487620.68,532148.29,501507.8,493150.41,450982.34,5799.857027,466823.7,595969,631394.2,609574.49,503263.91,513037.1,523033.28,531078.22,484824.13,514042.82,477012.38,6297.4,466923.52,458418.83,492163.47,466388.23,501244.9,517296.63,497209.61,482466.17,566236.9,446131.66,516638.13,5860.4,0,0,0,0,0,0,0,0,0,0,0,5921700,0,0,0,0,0,0,0,0,0,0,0,5982900,0,0,0,0,0,0,0,0,0,0,0,2771200,0,0,0
Sinaloa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240553,226759,222559,241571,295312,345974,393764,429007,418879,423791,362822,285045,259130,252999,244232,262472,290951,356258,405089,443037,430936,434335,383522,316941,265988,240842,242802,295732,330567,392626,453286,455643,468698,469604,367946,292725,267209,260094,257850,281840,321500,368804,437978,477729,506826,513568,424253,320110,282445,269030,278545,301333,352070,440453,518208,524617,504771,509605,450988,369732,292244,275525,295639,321499,357459,445071,511785,555833,545961,531177,455906,363699,296419,292800,290174,334562,392598,458697,536305,571443,562112,557091,509580,386654.81,327142.7,301401.99,327786.94,342509.38,402803.03,497955.65,576017.43,598788.63,591578.93,592367.41,499186.66,389766.12,341183.22,302351.4,309216.64,351806.72,402812.24,467902.32,570431.93,624881.09,649485.7,620824.56,491168.09,376987.94,323787.12,306047.91,311059.7,351805.11,408444.48,524882.7,633327.03,665745.14,676428.47,675841.5,558265.7,401772.21,325825.97,316644.05,335985.03,355919.15,437767.57,554132.07,632229.35,657801.12,666406.21,644034.71,549610.69,426731,345484.81,322834.74,330575.6,367926.83,450367.92,537353.97,635910.56,686755.59,679216.9,651035.39,564869.67,429037.79,365549.54,343158.17,373991.44,405864,494158.39,607306.04,687049.13,705589.68,675051,676480.23,583318.04,6370,357375.89,342526.63,380206.36,436485.35,477935.8,576224.1,684006.83,757533.36,735433.74,726569.82,612165.07,6556.786058,352425.39,344245.69,379407.52,436888.53,489508.83,620618.23,711983.7,773397.22,745722.05,764511.06,687330.55,6836.4,381197.29,348556.89,382157.25,423607.43,517450.8,608897.57,720591.21,793987.23,806610.67,776766.83,776845.38,7039.8,0,0,0,0,0,0,0,0,0,0,0,7127800,0,0,0,0,0,0,0,0,0,0,0,7256100,0,0,0,0,0,0,0,0,0,0,0,2603500,0,0,0
Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569421,529849,473488,539501,644141,697761,803541,837425,787377,756500,622975,521487,487539,500984,540649,585553,640672,699391,818973,881836,847397,796067,705862,591315,586629,558570,586818,638717,692023,796620,793157,915451,908213,786395,663406,595952,583262,559191,588685,655916,691050,788746,898341,978776,953418,928282,741155,663420,611340,610383,615934,605897,683698,793595,873923,1007049,957121,903838,755739,662632,633292,630289,675277,698184,763327,876835,1001945,1008058,992862,896628,728225,591766,581602,593069,642496,672520,712413,835648,988355,1024545,967493,918783,768539,606644.49,557483.09,552609.75,597160.05,642158.66,720638.84,831092.92,937203.67,1020318.03,1015822.16,919824.21,721194.83,607251.52,575879.71,535897.04,545213.81,606819.91,668067.34,788739.34,964168.42,1059221.12,1070989.49,975119.89,760842.43,623755.03,612519.37,610317.44,677293.2,722814.46,813219.81,934146.77,1093606.3,1172536.47,1211697.68,1106610.14,880148.13,693991.63,673530.96,679302.31,723434.16,736034.56,892102.8,1043137.97,1154000.92,1209277.76,1195286.42,1103367.44,904939.22,734562.6,703009.42,682422.24,731253.97,761236.07,895118.74,1044223.08,1197557.24,1272172.48,1219481.41,1075497.81,878421.44,572215.23,567501.65,555752.34,623162.74,668859.58,767211.44,951229.2,1101705.96,1117902.86,1090143.02,1017442.7,797966.67,9878.1,588415.31,568568.27,630093.5,724196.07,743263.96,862934.54,1055389.27,1176945.83,1162777.19,1066637.15,799216.55,9973.173649,548184.02,561281.22,640061.31,672443.04,738343.81,932262.2,1134925.4,1229953.22,1164853.46,1057472.6,897248.18,10253.7,551599.81,550878.58,630979.47,698739.95,797114.74,948540.3,1134450.9,1204077.45,1265627.12,1063507.73,914828.65,10414.7,0,0,0,0,0,0,0,0,0,0,0,10458400,0,0,0,0,0,0,0,0,0,0,0,10553500,0,0,0,0,0,0,0,0,0,0,0,3988700,0,0,0
Tabasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155890,138811,144926,151424,184646,173157,186477,183003,190394,192022,184335,170718,166138,154937,159182,150470,188733,202140,191981,194556,194986,186605,186891,161313,181734,165304,179717,180611,195223,196571,213183,206222,211236,197411,196178,177434,176884,168080,181167,190917,207753,209670,218007,209545,225653,210853,211803,188824,187658,177317,188905,191303,236211,216662,211964,211346,211843,219695,220971,206899,187063,190967,199665,201196,222499,235720,247076,244059,234084,233976,206163,202294,205244,209785,208441,229214,243165,247647,244699,243939,247525,234482,212911,197357,195688.32,191912.61,204215.56,231611.61,248374.6,275596.77,280696.23,281404.49,269175.42,265002.97,256093.12,232223.17,212810.52,196544.82,202376.8,219168.95,248716.02,268140.52,266874.52,259356.23,256993.72,259968.93,232359.32,210693.11,235634.94,214662.12,214857.29,254152.54,273068.3,309307.68,275732.21,291173.72,269007.34,273977.08,237151.52,232014.98,222626.58,237448.62,247210.33,267116.11,287838.62,305949.67,294461.16,299885.43,287311.55,302827.11,280966.57,268401.67,239436.99,244143.06,237638.78,266616.72,286950.24,312585.82,299406.02,308928.08,293558.59,310012.77,278765.42,264009.73,237773.61,237174.12,259398.95,291475.42,302368.69,304178.31,313334.11,332647.44,315110.81,300959.67,263244.48,3401.3,229311.01,208970.32,221475.43,254448.71,303626.05,313659.71,312242.69,326381.24,321574.97,332605.32,318793.63,3452.63294,264488.74,242465.1,244719.52,287384.27,355172.28,349510.7,329619.71,336629.12,356022.84,316020.3,307044.25,3702.7,247906.86,246660.53,252278.57,261622.06,288276.53,289773.81,299872.6,297804.14,309921.82,319740.87,313014.52,3321.9,0,0,0,0,0,0,0,0,0,0,0,3292500,0,0,0,0,0,0,0,0,0,0,0,3336100,0,0,0,0,0,0,0,0,0,0,0,1601200,0,0,0
Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514255,557429,565495,548750,639422,705886,689499,714186,713332,670490,574739,473327,470253,466819,561282,571049,620943,700382,694653,725036,715279,651690,606546,504312,505444,487585,564359,537168,599642,665869,729263,767477,770136,748057,646000,544434,529947,497993,532169,559923,621493,719463,775293,816979,790268,763789,644952,522620,529250,500377,595273,602274,703088,762399,775696,825547,805904,776364,662856,545517,535613,537922,588328,585650,681543,763889,789225,845737,817821,781021,679904,576007,552646,568485,585673,635855,737255,798967,800845,842604,803952,741759,631092,520317,530751.12,494761.59,537596.55,623197.92,701852.85,740513.28,850240.49,878221.67,864587.88,775825.07,667540.7,545122.95,568288.06,521313.04,560897.04,600580.32,688760.94,795252.57,840141.46,866745.67,870742.4,803904.6,664340.04,549472.98,553148,543088.28,636246.39,665833.62,760120.69,829708.33,861340.49,893542.7,888685.64,863274.26,741184.29,630737.14,630054.52,582516,628299.98,670357.01,775662.84,826038.11,853969.67,941781.1,877396.2,815203.6,714050.61,591549.06,573978.78,586742.72,596040.43,660359.06,748440.03,802365.86,859476.53,901156.85,883095.73,822007.71,705712.61,587028.67,578880.33,568132.76,605896.62,639258.64,737217.52,808605.32,873628.85,904495.02,905169.85,840850.03,671297.26,8709.3,582304.67,556652.82,593064.5,652390.42,738915.44,821248.78,884009.54,953258.99,934936.29,881016.03,763892.88,8955.350912,581770.88,577032.18,614612.32,670553.23,766067.28,844903.65,926406.53,909939.36,930820.44,857633.76,731709.4,9003.4,560753.55,559900.56,626105.96,654265.26,737279.55,832300.58,894417.02,903491.23,957045.84,818930.94,722377.52,8762.7,0,0,0,0,0,0,0,0,0,0,0,8941900,0,0,0,0,0,0,0,0,0,0,0,9100700,0,0,0,0,0,0,0,0,0,0,0,3752900,0,0,0
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119739,116827,123101,118011,127675,125078,124173,123801,122345,128268,126496,113946,126337,121347,128052,119648,128720,121356,125352,125023,112833,123722,125069,116977,115411,122127,135460,128733,133260,132742,136786,136397,135063,139953,139965,138744,144559,132603,143589,147915,151387,149548,150114,149559,148168,151835,150268,145666,153291,145186,156498,146507,156463,152742,152019,152612,152846,156885,153824,142602,155554,146890,162081,150738,156272,155229,157319,157768,148566,156548,153203,147985,150139,151571,154273,154649,155327,150926,158803,140658,143321,151507,141688,117396,138358.34,129539.4,136881.86,131356.82,138068.76,133503.66,135000.84,135048.58,130048.11,139554.31,132891.19,130537.15,136892.63,134723.9,143125.38,135956.11,144587.12,121288.33,135790.83,140160.27,139531.42,145455.12,143452.17,139788.47,157170.95,144998.72,154363.97,147268.92,153874.19,150184.29,152003.78,152169.84,150076.33,154768.43,148168.38,133109.83,149896.35,148678.58,158449.79,144476.23,153703.49,150352.95,152141.13,157359.32,153522.78,158790.97,150171.48,134302.62,140211.41,152715.12,153837.23,157360.4,157373.78,144544.55,153418.47,154244.34,146578.1,157353.28,151277.08,145429.43,152688.45,143395.83,158784.35,149096.38,154682.31,154201.18,156447.39,148614.36,154741.78,160082.08,154094.26,1836.2,158580.97,148809.97,152338.53,138004.97,161365.28,153229.61,160796.67,161591.48,151536.67,158864.59,152760.73,1848.089264,155697.6,151875.1,158414.63,161543.39,168171.18,164407.08,166605.45,160914.43,157819.58,161837.44,158800.76,1911,159169.21,156140.13,157264.09,161722.39,166166.68,163391.37,158798.57,164954.26,159189.97,141855.12,168058.31,1887.5,0,0,0,0,0,0,0,0,0,0,0,1774500,0,0,0,0,0,0,0,0,0,0,0,1625400,0,0,0,0,0,0,0,0,0,0,0,729400,0,0,0
Veracruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686512,667028,687229,711561,749813,738102,786590,769074,790637,767383,756050,713645,713549,693436,756589,732044,812787,768476,812788,779175,729193,705130,651032,625547,653123,633864,678238,673847,745559,727922,785660,761196,788038,793373,752625,728324,704337,673003,712441,743615,788801,804839,853011,810532,818946,805577,795382,737108,740830,695645,772690,772643,855582,816546,852931,821599,848431,834234,797691,750335,754562,566028,748687,827760,847904,860949,932655,872416,883303,887720,835054,784396,770999,656143,812744,824318,935473,895567,904556,871063,935185,841643,815258,715634,724473.67,703869.02,748024.8,761132.82,791816.42,841983.84,894681.84,885952.04,901354.6,871255.68,813495.63,742807.56,782706.9,679956.55,776138.07,789694.27,905992.83,901727.46,985161.4,914841.81,900384.27,807153.76,812924.95,760688.9,775100.07,732731.82,831087.02,882333.28,972979.21,959061.12,1009982.36,966398.4,987783.34,911037.16,895326.94,845111.23,879271.57,860707.7,927104.61,920552.19,1032626.57,1015497.27,987207.96,938396.86,969879.98,950357.69,906932.56,859188.52,852167.97,814848.07,866430.75,874019.22,965621.05,962018.57,1024308.55,970309.06,961764.38,907047.54,882462.84,789690.06,791803.06,764073.43,847323.6,873557.55,971167.31,945321.06,997544.96,953377.24,967421.84,922928.14,899093.16,10774.7,810804.64,774463.08,806265.94,827994.67,1006441.5,966243.55,1021334.16,1067070.68,1064306.45,973837.04,936928.6,11119.67721,821402.04,816242.24,819881.31,880674.82,1033843.78,1022815.05,1063891.49,1000846.1,1022886.53,961696.4,904989.46,11142.2,749479.75,730579.91,742807.91,733960.22,871033.73,900613.82,882959.14,852206.72,936800.63,875529.52,823117.22,9783.5,0,0,0,0,0,0,0,0,0,0,0,10323400,0,0,0,0,0,0,0,0,0,0,0,10112000,0,0,0,0,0,0,0,0,0,0,0,4527600,0,0,0
Yucatán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177379,160006,163990,174710,211578,200357,200869,199510,195107,170542,193014,166968,169828,167649,179164,183423,206120,207356,221034,200912,210011,201184,203663,177929,184869,171423,183226,195751,205550,209508,231929,217813,222736,211480,211749,191902,192809,175538,190031,202694,229878,216144,231462,225003,233634,210438,224459,199319,198555,186845,192488,205858,242479,235335,244064,230521,239601,236752,234486,205203,208478,202022,208795,203102,249648,241943,257368,248374,250871,240800,240461,212877,222816,212529,222112,226792,264538,251663,261710,257622,270028,258616,242805,206948,237865.7,202896.67,219713.88,234462.86,270505.93,257732.01,272211.84,250781.44,269566.75,261148.48,247379.7,215284.34,211655.29,185699.84,206922.14,217769.8,258050.89,264582.06,277519.89,263646.87,263072.17,245103.91,236579.64,212753.91,214997.37,204749.28,228796.91,250104.57,284306.28,291472.64,286507.98,272411.65,280483.38,263647.96,246518.88,225308.09,220813.18,213548.98,247413.85,249432.7,277281.04,264933.69,283504.15,275114.2,285801.03,274438.16,256603.92,228336.54,235166.72,227222.55,236778.52,251078.17,292950.58,286555.04,286198.33,286079.66,281041.15,272331.09,273459.61,244089.07,239885.36,222525.05,249593.16,259983.32,296883.83,278601.73,302751.49,301721.36,303478.77,284720.59,270086.86,3240.6,242722.53,222930.4,256733.77,280191.35,324331.12,304770.42,319204.73,313899.1,326406.69,319266.21,307069.53,3494.002026,262276.8,240809.6,265817.96,288255.38,340997.28,353421.94,353068.08,334486.9,341690.81,317499,308189.97,3691.1,272071.49,245750.35,283941.28,289169.54,329934.04,337396.5,349760.4,324337.21,370038.52,343640.86,314471.43,3717.8,0,0,0,0,0,0,0,0,0,0,0,3811500,0,0,0,0,0,0,0,0,0,0,0,4107800,0,0,0,0,0,0,0,0,0,0,0,1855000,0,0,0
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119917,123182,112240,149245,179481,188435,164586,122538,130991,137227,127965,124474,117535,123604,123489,143692,173829,203140,157936,141255,132978,124011,124458,125968,126611,122555,112506,146241,133469,158756,120039,124056,124499,108912,108893,105092,99833,104728,102117,125434,159026,169873,166608,144245,138220,141890,126862,117146,110013,120887,118735,145690,163764,164577,169270,152322,128874,120595,122590,121834,135496,131433,129116,148897,176077,155352,134257,140386,152671,140606,127973,120598,121797,155657,132126,149471,189555,200715,137600,149626,122987,125668,128246,113487,122823.11,129398.46,138221.64,164744.61,193269.72,182186.13,170074.32,203045.61,177503.05,174034.21,172513.61,161847.55,152467.69,148678.48,167821.94,201199.69,233595.78,262870.01,227623.36,231195.12,262762.39,228250.84,234766.62,214560.28,223407.95,215885.69,242509.49,262191.92,286735.37,305726.81,280228.98,273323.58,284795.31,269176.79,212165.04,211749.26,211473.28,210066.12,230678.13,268437.27,296823.61,284568.35,273376.64,270705.02,265390.18,250224.42,236134.39,219413,219372.03,218128.1,236382.07,249970.49,286235.82,284833.93,244598.72,241890.05,257271.78,212453.16,212686.34,209372.16,197442.12,210120.5,226313.28,250614.13,285825.56,261068.23,245509.71,280301.79,258324.74,238811.62,213100.89,2893.9,224124.91,214364.41,226219.25,234012.34,261585.68,249981.49,212598.17,189203.1,188381.35,172035.27,154939.68,2465.13534,141476.98,153349.42,168876.51,196143.3,233591.2,228040.6,223900.15,206590.43,181697.44,189152.74,175626.35,2258.6,165996.26,172689.68,190333.86,193657.92,237309.97,246779.13,205940.16,188752.77,175962.25,161280.96,173993.17,2265.2,0,0,0,0,0,0,0,0,0,0,0,2120700,0,0,0,0,0,0,0,0,0,0,0,2418600,0,0,0,0,0,0,0,0,0,0,0,1184900,0,0,0
