-BEGIN HEADER-,,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Climatologies ,,,,,,,,,,,,,,,
22-year Additional Solar Parameter Monthly & Annual Climatologies (July 1983 - June 2005), 30-year Meteorological and Solar Monthly & Annual Climatologies (January 1984 - December 2013) ,,,,,,,,,,,,,,
Location: Global ,,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) ,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,
LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
17.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.43,5.13,5.85,6.23,6.32,6.17,6.48,6.22,6.02,5.4,4.54,3.97,5.56
18.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.36,5.04,5.82,6.31,6.41,6.18,6.42,6.2,5.86,5.29,4.48,3.88,5.52
18.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.36,5.04,5.82,6.31,6.41,6.18,6.42,6.2,5.86,5.29,4.48,3.88,5.52
19.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.3,4.99,5.81,6.35,6.39,6.24,6.27,6.21,5.77,5.2,4.4,3.79,5.48
19.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.3,4.99,5.81,6.35,6.39,6.24,6.27,6.21,5.77,5.2,4.4,3.79,5.48
20.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.25,5.01,5.77,6.34,6.35,6.25,6.22,6.16,5.67,5.17,4.37,3.72,5.44
20.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.25,5.01,5.77,6.34,6.35,6.25,6.22,6.16,5.67,5.17,4.37,3.72,5.44
21.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.23,5.03,5.75,6.38,6.36,6.31,6.19,6.13,5.63,5.16,4.37,3.71,5.44
21.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.23,5.03,5.75,6.38,6.36,6.31,6.19,6.13,5.63,5.16,4.37,3.71,5.44
22.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.22,4.99,5.76,6.4,6.38,6.31,6.18,6.06,5.6,5.11,4.37,3.73,5.43
22.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.22,4.99,5.76,6.4,6.38,6.31,6.18,6.06,5.6,5.11,4.37,3.73,5.43
23.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.22,4.96,5.79,6.48,6.45,6.27,6.26,6.14,5.61,5.08,4.33,3.74,5.44
23.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.22,4.96,5.79,6.48,6.45,6.27,6.26,6.14,5.61,5.08,4.33,3.74,5.44
24.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.17,4.95,5.77,6.52,6.46,6.27,6.3,6.2,5.61,5.01,4.32,3.76,5.45
24.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.17,4.95,5.77,6.52,6.46,6.27,6.3,6.2,5.61,5.01,4.32,3.76,5.45
25.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.12,4.89,5.77,6.56,6.42,6.25,6.34,6.22,5.61,4.95,4.27,3.75,5.43
25.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.12,4.89,5.77,6.56,6.42,6.25,6.34,6.22,5.61,4.95,4.27,3.75,5.43
26.250000,-116.750000,ALLSKY_SFC_SW_DWN,4.02,4.8,5.77,6.63,6.44,6.2,6.29,6.19,5.6,4.87,4.24,3.69,5.39
26.750000,-116.750000,ALLSKY_SFC_SW_DWN,4.02,4.8,5.77,6.63,6.44,6.2,6.29,6.19,5.6,4.87,4.24,3.69,5.39
27.250000,-116.750000,ALLSKY_SFC_SW_DWN,3.92,4.72,5.72,6.66,6.41,6.1,6.14,6.08,5.56,4.77,4.18,3.62,5.32
27.750000,-116.750000,ALLSKY_SFC_SW_DWN,3.92,4.72,5.72,6.66,6.41,6.1,6.14,6.08,5.56,4.77,4.18,3.62,5.32
28.250000,-116.750000,ALLSKY_SFC_SW_DWN,3.84,4.64,5.67,6.68,6.33,5.94,5.98,5.95,5.53,4.71,4.14,3.54,5.25
28.750000,-116.750000,ALLSKY_SFC_SW_DWN,3.84,4.64,5.67,6.68,6.33,5.94,5.98,5.95,5.53,4.71,4.14,3.54,5.25
29.250000,-116.750000,ALLSKY_SFC_SW_DWN,3.71,4.52,5.5,6.58,6.1,5.71,5.86,5.77,5.45,4.56,4.02,3.45,5.1
29.750000,-116.750000,ALLSKY_SFC_SW_DWN,3.71,4.52,5.5,6.58,6.1,5.71,5.86,5.77,5.45,4.56,4.02,3.45,5.1
30.250000,-116.750000,ALLSKY_SFC_SW_DWN,3.61,4.41,5.4,6.53,6.13,5.77,6,5.84,5.41,4.46,3.94,3.35,5.07
30.750000,-116.750000,ALLSKY_SFC_SW_DWN,3.61,4.41,5.4,6.53,6.13,5.77,6,5.84,5.41,4.46,3.94,3.35,5.07
31.250000,-116.750000,ALLSKY_SFC_SW_DWN,3.44,4.19,5.27,6.47,6.32,6.14,6.28,6.11,5.42,4.38,3.73,3.18,5.08
31.750000,-116.750000,ALLSKY_SFC_SW_DWN,3.44,4.19,5.27,6.47,6.32,6.14,6.28,6.11,5.42,4.38,3.73,3.18,5.08
32.250000,-116.750000,ALLSKY_SFC_SW_DWN,3.24,4.02,5.19,6.54,6.91,7.04,6.93,6.46,5.55,4.39,3.53,3.01,5.23
32.750000,-116.750000,ALLSKY_SFC_SW_DWN,3.24,4.02,5.19,6.54,6.91,7.04,6.93,6.46,5.55,4.39,3.53,3.01,5.23
14.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.61,5.37,6.21,6.34,6.4,6.27,6.11,5.97,5.86,5.51,4.65,4.23,5.63
15.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.53,5.3,6.08,6.28,6.34,6.24,6.37,6.15,6.01,5.52,4.63,4.12,5.63
15.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.53,5.3,6.08,6.28,6.34,6.24,6.37,6.15,6.01,5.52,4.63,4.12,5.63
16.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.44,5.23,5.96,6.21,6.26,6.15,6.44,6.23,6.06,5.43,4.57,4.03,5.58
16.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.44,5.23,5.96,6.21,6.26,6.15,6.44,6.23,6.06,5.43,4.57,4.03,5.58
17.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.43,5.13,5.85,6.23,6.32,6.17,6.48,6.22,6.02,5.4,4.54,3.97,5.56
17.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.43,5.13,5.85,6.23,6.32,6.17,6.48,6.22,6.02,5.4,4.54,3.97,5.56
18.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.36,5.04,5.82,6.31,6.41,6.18,6.42,6.2,5.86,5.29,4.48,3.88,5.52
18.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.36,5.04,5.82,6.31,6.41,6.18,6.42,6.2,5.86,5.29,4.48,3.88,5.52
19.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.3,4.99,5.81,6.35,6.39,6.24,6.27,6.21,5.77,5.2,4.4,3.79,5.48
19.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.3,4.99,5.81,6.35,6.39,6.24,6.27,6.21,5.77,5.2,4.4,3.79,5.48
20.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.25,5.01,5.77,6.34,6.35,6.25,6.22,6.16,5.67,5.17,4.37,3.72,5.44
20.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.25,5.01,5.77,6.34,6.35,6.25,6.22,6.16,5.67,5.17,4.37,3.72,5.44
21.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.23,5.03,5.75,6.38,6.36,6.31,6.19,6.13,5.63,5.16,4.37,3.71,5.44
21.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.23,5.03,5.75,6.38,6.36,6.31,6.19,6.13,5.63,5.16,4.37,3.71,5.44
22.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.22,4.99,5.76,6.4,6.38,6.31,6.18,6.06,5.6,5.11,4.37,3.73,5.43
22.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.22,4.99,5.76,6.4,6.38,6.31,6.18,6.06,5.6,5.11,4.37,3.73,5.43
23.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.22,4.96,5.79,6.48,6.45,6.27,6.26,6.14,5.61,5.08,4.33,3.74,5.44
23.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.22,4.96,5.79,6.48,6.45,6.27,6.26,6.14,5.61,5.08,4.33,3.74,5.44
24.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.17,4.95,5.77,6.52,6.46,6.27,6.3,6.2,5.61,5.01,4.32,3.76,5.45
24.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.17,4.95,5.77,6.52,6.46,6.27,6.3,6.2,5.61,5.01,4.32,3.76,5.45
25.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.12,4.89,5.77,6.56,6.42,6.25,6.34,6.22,5.61,4.95,4.27,3.75,5.43
25.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.12,4.89,5.77,6.56,6.42,6.25,6.34,6.22,5.61,4.95,4.27,3.75,5.43
26.250000,-116.250000,ALLSKY_SFC_SW_DWN,4.02,4.8,5.77,6.63,6.44,6.2,6.29,6.19,5.6,4.87,4.24,3.69,5.39
26.750000,-116.250000,ALLSKY_SFC_SW_DWN,4.02,4.8,5.77,6.63,6.44,6.2,6.29,6.19,5.6,4.87,4.24,3.69,5.39
27.250000,-116.250000,ALLSKY_SFC_SW_DWN,3.92,4.72,5.72,6.66,6.41,6.1,6.14,6.08,5.56,4.77,4.18,3.62,5.32
27.750000,-116.250000,ALLSKY_SFC_SW_DWN,3.92,4.72,5.72,6.66,6.41,6.1,6.14,6.08,5.56,4.77,4.18,3.62,5.32
28.250000,-116.250000,ALLSKY_SFC_SW_DWN,3.84,4.64,5.67,6.68,6.33,5.94,5.98,5.95,5.53,4.71,4.14,3.54,5.25
28.750000,-116.250000,ALLSKY_SFC_SW_DWN,3.84,4.64,5.67,6.68,6.33,5.94,5.98,5.95,5.53,4.71,4.14,3.54,5.25
29.250000,-116.250000,ALLSKY_SFC_SW_DWN,3.71,4.52,5.5,6.58,6.1,5.71,5.86,5.77,5.45,4.56,4.02,3.45,5.1
29.750000,-116.250000,ALLSKY_SFC_SW_DWN,3.71,4.52,5.5,6.58,6.1,5.71,5.86,5.77,5.45,4.56,4.02,3.45,5.1
30.250000,-116.250000,ALLSKY_SFC_SW_DWN,3.61,4.41,5.4,6.53,6.13,5.77,6,5.84,5.41,4.46,3.94,3.35,5.07
30.750000,-116.250000,ALLSKY_SFC_SW_DWN,3.61,4.41,5.4,6.53,6.13,5.77,6,5.84,5.41,4.46,3.94,3.35,5.07
31.250000,-116.250000,ALLSKY_SFC_SW_DWN,3.44,4.19,5.27,6.47,6.32,6.14,6.28,6.11,5.42,4.38,3.73,3.18,5.08
31.750000,-116.250000,ALLSKY_SFC_SW_DWN,3.44,4.19,5.27,6.47,6.32,6.14,6.28,6.11,5.42,4.38,3.73,3.18,5.08
32.250000,-116.250000,ALLSKY_SFC_SW_DWN,3.24,4.02,5.19,6.54,6.91,7.04,6.93,6.46,5.55,4.39,3.53,3.01,5.23
32.750000,-116.250000,ALLSKY_SFC_SW_DWN,3.24,4.02,5.19,6.54,6.91,7.04,6.93,6.46,5.55,4.39,3.53,3.01,5.23
14.750000,-115.750000,ALLSKY_SFC_SW_DWN,4.6,5.44,6.24,6.41,6.47,6.31,6.1,5.95,5.82,5.5,4.75,4.24,5.65
15.250000,-115.750000,ALLSKY_SFC_SW_DWN,4.55,5.37,6.11,6.37,6.41,6.24,6.35,6.13,5.96,5.54,4.71,4.15,5.66
